vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Bodegas Luis Perez Garum 2021|Garum|2021|Cádiz|Bodegas Luis Perez|Tinto|Grenache., Tempranillo|11.35|3.0322878|3.8330975|1.8389037|3.1241848|5438|3.9|white
Tobia Selección de Autor 2019|Selección de Autor|2019|Rioja|Tobia|Tinto de Rioja|Tempranillo, Graciano, Garnacha|13.41|3.6303263|3.8851976|1.782855|3.6988754|6682|3.9|white
Pardas Aspriu Tinto 2015|Aspriu Tinto|2015|Penedès|Pardas|Tinto|Grenache., Tempranillo|47.5|2.9280457|3.9131205|1.3753202|2.9877176|351|4.1|white
Pardas Aspriu Tinto 2013|Aspriu Tinto|2013|Penedès|Pardas|Tinto|Grenache., Tempranillo|35.5|2.9280457|3.9131205|1.3753202|2.9877176|351|4.1|white
Lopez Cristobal Tinto Reserva 2004|Tinto Reserva|2004|Ribera del Duero|Lopez Cristobal|Tinto de Ribera del Duero|Tempranillo|50.0|3.7609484|3.8352811|1.8151053|3.5294495|349|4.1|white
Cillar de Silos Ribera del Duero Crianza 2020|Ribera del Duero Crianza|2020|Ribera del Duero|Cillar de Silos|Tinto de Ribera del Duero|Tempranillo|17.58|3.663096|3.883448|1.67607|3.4291108|6031|3.9|white
Marqués de Griñon Petit Verdot 2016|Petit Verdot|2016|Dominio de Valdepusa|Marqués de Griñon|Tinto|Grenache., Tempranillo|26.8|3.1617737|4.030218|1.824171|3.3354208|3614|4.1|white
Enrique Mendoza Santa Rosa 2020|Santa Rosa|2020|Alicante|Enrique Mendoza|Tinto|Grenache., Tempranillo|20.51|3.1882582|3.8099568|1.856645|3.0498908|6292|4.1|white
El Pacto El Pacto de la Sonsierra 2020|El Pacto de la Sonsierra|2020|Rioja|El Pacto|Tinto de Rioja|Tempranillo, Graciano, Garnacha|13.0|3.6512756|3.8697205|1.962567|3.720161|7792|3.9|white
Bruno Murciano L'Alegria Bobal Arcilla 2021|L'Alegria Bobal Arcilla|2021|Utiel-Requena|Bruno Murciano|Tinto|Grenache., Tempranillo|11.1|3.2020178|3.72076|2.1082342|3.070249|1344|3.9|white
