vintage_name|wine_name|year|region|bodega|varietal_name|grape_names|price|acidity|fizziness|intensity|sweetness|tannin|ratings_count|ratings_average|wine_ratings_count|wine_ratings_average
Ramón do Casar Godello 2023|Godello|2023|Ribeiro|Ramón do Casar|Godello|Godello|14.9|3.7307692||2.8897438|1.1589744||473|4.2|473|4.2
Celler Massis de l'Albera Les Tortugues Garnatxa Roja 2023|Les Tortugues Garnatxa Roja|2023|Empordà|Celler Massis de l'Albera|White||16.49|3.3182259||3.144908|2.0574884||471|4.2|471|4.2
R. López de Heredia Viña Gravonia 2015|Viña Gravonia|2015|Rioja Alta|R. López de Heredia|Blanco de Rioja|Viura|48.5|3.257773||4.3538647|2.0030189||454|4.2|9637|4.2
Lagravera Cíclic Blanc 2022|Cíclic Blanc|2022|Costers del Segre|Lagravera|White||22.9|3.3100657||2.832171|1.1242763||441|4.2|441|4.2
Mar de Frades Finca Valiñas 2015|Finca Valiñas|2015|Rías Baixas|Mar de Frades|Albariño|Albariño|30.9|3.7232082||1.8825656|1.474119||440|4.2|1624|4.1
Dominio do Bibei Lapola 2020|Lapola|2020|Ribeira Sacra|Dominio do Bibei|White||25.12|3.595283||3.4667506|1.8151153||428|4.2|4104|4.1
Yllera Meraldis Vinificación Integral Verdejo 2021|Meraldis Vinificación Integral Verdejo|2021|Rueda|Yllera|Verdejo|Verdejo|21.8|3.372854||2.76061|1.94||385|4.2|385|4.2
Pago de Los Capellanes O Luar do Sil Valdeorras Godello 2023|O Luar do Sil Valdeorras Godello|2023|Valdeorras|Pago de Los Capellanes|Godello|Godello|12.9|3.20965||3.171751|1.5554085||358|4.2|10676|4.1
Bodegas San Román Malvasia 2022|Malvasia|2022|Castilla|Bodegas San Román|White||38.7|2.2010205||3.0|1.2012244||342|4.2|342|4.2
Dominio do Bibei Lapola 2018|Lapola|2018|Ribeira Sacra|Dominio do Bibei|White||18.75|3.595283||3.4667506|1.8151153||321|4.2|4104|4.1
Ossian Viñas Viejas Verdejo 2021|Viñas Viejas Verdejo|2021|Castilla y León|Ossian|Verdejo|Verdejo|31.31|3.255563||2.721581|2.4112735||319|4.2|10298|4.2
Vinessens - Casa Balaguer Salicornio Malvasía 2022|Salicornio Malvasía|2022|Alicante|Vinessens - Casa Balaguer|White||15.95|3.0||2.8925002|1.15||307|4.2|307|4.2
Vinessens - Casa Balaguer Salicornio Malvasía 2023|Salicornio Malvasía|2023|Alicante|Vinessens - Casa Balaguer|White||15.95|3.0||2.8925002|1.15||307|4.2|307|4.2
Familia Torres San Valentín Parellada 2023|San Valentín Parellada|2023|Cataluña|Familia Torres|White||7.28|2.6089573||2.9206145|2.736201||297|4.2|25912|4.2
Suertes del Marqués Trenzado 2021|Trenzado|2021|Valle de la Orotava|Suertes del Marqués|White||20.75|4.448549||2.169579|1.8752257||288|4.2|3480|3.9
