vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Vicente Gandía Bobal Negro 2021|Bobal Negro|2021|Utiel-Requena|Vicente Gandía|Tinto|Grenache., Tempranillo|14.95|3.206139|3.4703448|2.2807739|3.1762695|1639|3.8|white
Ermita del Conde Pago del Conde 2012|Pago del Conde|2012|Castilla y León|Ermita del Conde|Tempranillo|Tempranillo|25.8|2.9114676|4.3598976|1.7811605|3.6024575|298|4.0|white
Rodríguez de Vera Sorrasca 2010|Sorrasca|2010|Almansa|Rodríguez de Vera|Tinto|Grenache., Tempranillo|26.3|3.2070727|3.9747326|1.6652586|3.2118492|627|4.0|white
Dominio del Bendito El Buen Rollo 2020|El Buen Rollo|2020|Toro|Dominio del Bendito|Tinto de Toro|Tempranillo|10.8|3.0610054|4.1518607|2.2044709|3.079365|1155|3.9|white
Viña Otano Gran  Reserva 2015|Gran  Reserva|2015|Rioja|Viña Otano|Tinto de Rioja|Tempranillo, Graciano, Garnacha|16.95|3.728902|3.8968961|1.2831771|3.6667058|387|4.1|white
Sierra de Toloño La Dula Garnachas de Altura 2021|La Dula Garnachas de Altura|2021|Rioja|Sierra de Toloño|Tinto de Rioja|Tempranillo, Graciano, Garnacha|32.78|3.329493|4.0137177|1.4940399|2.786943|379|3.9|white
Cal Pla Mas d'En Compte Tinto 2016|Mas d'En Compte Tinto|2016|Priorato|Cal Pla|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|20.21|3.385165|4.693111|1.7706343|3.220009|1857|4.1|white
Wineissocial Rebeldes 2022|Rebeldes|2022|Montsant|Wineissocial|Tinto de Montsant|Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha|10.5|3.0294297|3.231598|2.1367357|2.7044923|1315|3.7|white
Fuentes del Silencio Las Quintas Cepas Viejas 2019|Las Quintas Cepas Viejas|2019|Castilla y León|Fuentes del Silencio|Tinto|Grenache., Tempranillo|36.28|3.2886126|3.8177397|1.5336301|3.287106|97|4.0|white
Consejo de la Alta Cata de Consejero Tempranillo 2014|Cata de Consejero Tempranillo|2014|Rioja|Consejo de la Alta|Tinto de Rioja|Tempranillo, Graciano, Garnacha|35.95|2.7891257|4.4261365|1.3394276|3.5029094|832|3.9|white
Bodegas Care Cariñena Nativa Viñas Viejas 2021|Cariñena Nativa Viñas Viejas|2021|Cariñena|Bodegas Care|Tinto|Grenache., Tempranillo|7.95|3.0745277|3.6160731|2.275043|2.958251|644|4.1|white
Finca Montalvillo Crianza 2018|Crianza|2018|Rioja|Finca Montalvillo|Tinto de Rioja|Tempranillo, Graciano, Garnacha|19.55|3.82|3.8404958|1.3600001|4.2054543|105|3.9|white
Emilio Moro La Felisa 2022|La Felisa|2022|Ribera del Duero|Emilio Moro|Tinto de Ribera del Duero|Tempranillo|26.0|3.4639144|3.7746|1.8652196|3.556877|2904|4.2|white
Coca i Fitó Nu 2021|Nu|2021|Montsant|Coca i Fitó|Tinto de Montsant|Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha|18.9|3.4736059|4.5248895|1.4799352|3.1231127|382|4.0|white
Celler Vidbertus 996 2015|996|2015|Tarragona|Celler Vidbertus|Tinto|Grenache., Tempranillo|31.45|2.934188|3.498547|2.5504277|2.9734614|92|4.0|white
Coca i Fitó Tocat i Posat Negre 2014|Tocat i Posat Negre|2014|Empordà|Coca i Fitó|Tinto|Grenache., Tempranillo|33.9|3.3326366|3.8429098|1.6136203|3.127459|307|4.0|white
Paco Garcia Cantamilano Garnacha 2021|Cantamilano Garnacha|2021|Rioja|Paco Garcia|Tinto de Rioja|Tempranillo, Graciano, Garnacha|16.4|3.2827537|3.3453984|2.314565|3.1494203|128|4.0|white
Remelluri Lindes de Remelluri Viñedos de San Vicente 2020|Lindes de Remelluri Viñedos de San Vicente|2020|Rioja|Remelluri|Tinto de Rioja|Tempranillo, Graciano, Garnacha|16.5|3.502734|3.5382562|1.7409556|3.4885242|4982|3.9|white
Muriel Rioja Gran Reserva 2014|Rioja Gran Reserva|2014|Rioja|Muriel|Tinto de Rioja|Tempranillo, Graciano, Garnacha|20.5|3.7604187|3.875138|1.5791836|3.7822533|2506|3.9|white
Laureano Serres Montagut Mendall Terme de Guiu Red 2023|Mendall Terme de Guiu Red|2023|Terra Alta|Laureano Serres Montagut|Tinto|Grenache., Tempranillo|18.7|3.4128952|4.0118423|1.8452632|3.0657895|88|4.0|white
Finca Míllara Ribera de los Naranjos 2019|Ribera de los Naranjos|2019|Ribeira Sacra|Finca Míllara|Tinto|Grenache., Tempranillo|22.55|3.3195724|3.4332201|1.5074064|3.1190748|727|4.0|white
Campillo Campillo 57 Selección Especial 2015|Campillo 57 Selección Especial|2015|Rioja|Campillo|Tinto de Rioja|Tempranillo, Graciano, Garnacha|30.82|3.4762442|3.792774|1.8916368|3.4564884|501|4.2|white
Mocen Cobranza Vendimia Seleccionada 2015|Cobranza Vendimia Seleccionada|2015|Castilla y León|Mocen|Tempranillo|Tempranillo|16.95|3.0772095|4.507558|1.163372|4.0213957|87|4.0|white
Avgvstvs Ull de Llebre 2020|Ull de Llebre|2020|Penedès|Avgvstvs|Tempranillo|Tempranillo|13.79|2.2672381|4.089714|1.181238|3.620381|87|4.0|white
Colonias de Galeón Colonia 40 2022|Colonia 40|2022|Sierra Norte de Sevilla|Colonias de Galeón|Tinto|Grenache., Tempranillo|13.9|3.0852265|3.4628096|2.44855|3.106707|87|4.0|white
